"";"ring";"N_units";"N_pairs";"BC_obs";"mean_BC";"BC_2.5";"BC_97.5";"p_value"
"1";"EURIMEDIA";35;595;0,906;0,949;0,918;0,972;0,007
"2";"MESTRA";14;91;0,741;0,949;0,894;0,986;0,001
"3";"CONFUSA";20;190;0,843;0,949;0,904;0,98;0,001
"4";"ACRISIONE";1;0;NA;NA;NA;NA;NA
"5";"DILUCIDA";40;780;0,844;0,95;0,922;0,969;0,001
"6";"HEWITSONI";30;435;0,807;0,948;0,915;0,974;0,001
"7";"HERMIAS";53;1378;0,918;0,949;0,925;0,968;0,006
"8";"ORESTES";16;120;0,695;0,95;0,902;0,983;0,001
"9";"ILLINISSA";6;15;0,585;0,947;0,826;1;0,001
"10";"LERIDA";66;2145;0,925;0,95;0,929;0,966;0,015
"11";"AURELIANA";12;66;0,74;0,948;0,885;0,986;0,001
"12";"SINILIA";9;36;0,883;0,951;0,881;0,994;0,028
"13";"AGNOSIA";85;3570;0,924;0,95;0,932;0,964;0,004
"14";"OZIA";19;171;0,894;0,949;0,908;0,978;0,014
"15";"MAMERCUS";64;2016;0,916;0,95;0,929;0,968;0,002
"16";"MAELUS";16;120;0,662;0,949;0,901;0,983;0,001
"17";"EXCELSA";18;153;0,844;0,949;0,901;0,981;0,001
"18";"OCNA";13;78;0,902;0,951;0,896;0,986;0,036
"19";"DOTO";15;105;0,922;0,949;0,894;0,985;0,127
"20";"MOTHONE";14;91;0,802;0,95;0,896;0,986;0,001
"21";"MANTINEUS";5;10;0,315;0,949;0,826;1;0,001
"22";"LIBETHRIS";21;210;0,901;0,949;0,905;0,978;0,022
"23";"POLITA";10;45;0,877;0,949;0,875;0,992;0,03
"24";"HUMBOLDT";1;0;NA;NA;NA;NA;NA
"25";"PAVONII";2;1;1;0,95;0,552;1;1
"26";"PANTHYALE";39;741;0,908;0,95;0,921;0,972;0,005
"27";"HEMIXANTHE";7;21;0,543;0,948;0,857;0,998;0,001
"28";"BANJANAM";45;990;0,899;0,949;0,923;0,969;0,002
"29";"TICIDAM";8;28;0,285;0,95;0,867;0,996;0,001
"30";"DUILLIA";3;3;0,829;0,949;0,728;1;0,093
"31";"UMBROSA";3;3;0,876;0,949;0,73;1;0,162
"32";"PRAXILLA";9;36;0,768;0,949;0,868;0,994;0,001
"33";"LYSIMNIA";5;10;0,787;0,95;0,806;1;0,017
"34";"DUESSA";4;6;0,96;0,948;0,802;1;0,477
"35";"EGRA";11;55;0,872;0,95;0,884;0,99;0,014
"36";"AMALDA";9;36;0,849;0,949;0,877;0,994;0,009
"37";"THEUDELINDA";8;28;0,686;0,951;0,875;0,997;0,001
"38";"PARALLELIS";7;21;0,694;0,951;0,856;0,999;0,001
"39";"SUSIANA";20;190;0,829;0,949;0,903;0,978;0,001
"40";"QUINTINA";6;15;0,88;0,95;0,843;1;0,066
"41";"THABENAF";11;55;0,875;0,95;0,884;0,99;0,018
"42";"PRAESTANS";1;0;NA;NA;NA;NA;NA
"43";"DERCYLLIDAS";1;0;NA;NA;NA;NA;NA
"44";"VESTILLA";1;0;NA;NA;NA;NA;NA
