"";"ring";"N_units";"N_pairs";"BC_obs";"mean_BC";"BC_2.5";"BC_97.5";"p_value";"N_units_mono";"N_pairs_mono";"BC_obs_mono";"mean_BC_mono";"BC_2.5_mono";"BC_97.5_mono";"p_value_mono"
"1";"ACRISIONE";1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"AGNOSIA";85;3570;0,924;0,95;0,932;0,964;0,004;35;595;0,945;0,954;0,929;0,972;0,218
"3";"AMALDA";9;36;0,849;0,949;0,877;0,994;0,009;2;1;1;0,948;0,461;1;1
"4";"AURELIANA";12;66;0,74;0,948;0,885;0,986;0,001;1;0;NA;NA;NA;NA;NA
"5";"BANJANAM";45;990;0,899;0,949;0,923;0,969;0,002;5;10;0,997;0,953;0,818;1;0,81
"6";"CONFUSA";20;190;0,843;0,949;0,904;0,98;0,001;11;55;0,824;0,954;0,894;0,991;0,001
"7";"DERCYLLIDAS";1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"DILUCIDA";40;780;0,844;0,95;0,922;0,969;0,001;10;45;0,927;0,954;0,884;0,993;0,157
"9";"DOTO";15;105;0,922;0,949;0,894;0,985;0,127;1;0;NA;NA;NA;NA;NA
"10";"DUESSA";4;6;0,96;0,948;0,802;1;0,477;NA;NA;NA;NA;NA;NA;NA
"11";"DUILLIA";3;3;0,829;0,949;0,728;1;0,093;3;3;0,829;0,952;0,757;1;0,083
"12";"EGRA";11;55;0,872;0,95;0,884;0,99;0,014;1;0;NA;NA;NA;NA;NA
"13";"EURIMEDIA";35;595;0,906;0,949;0,918;0,972;0,007;18;153;0,91;0,954;0,914;0,982;0,017
"14";"EXCELSA";18;153;0,844;0,949;0,901;0,981;0,001;2;1;0,842;0,951;0,494;1;0,113
"15";"HEMIXANTHE";7;21;0,543;0,948;0,857;0,998;0,001;3;3;0,453;0,952;0,74;1;0,005
"16";"HERMIAS";53;1378;0,918;0,949;0,925;0,968;0,006;9;36;0,938;0,954;0,885;0,993;0,26
"17";"HEWITSONI";30;435;0,807;0,948;0,915;0,974;0,001;6;15;0,859;0,954;0,847;1;0,039
"18";"HUMBOLDT";1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";"ILLINISSA";6;15;0,585;0,947;0,826;1;0,001;NA;NA;NA;NA;NA;NA;NA
"20";"LERIDA";66;2145;0,925;0,95;0,929;0,966;0,015;23;253;0,892;0,952;0,92;0,979;0,002
"21";"LIBETHRIS";21;210;0,901;0,949;0,905;0,978;0,022;6;15;0,825;0,952;0,857;1;0,01
"22";"LYSIMNIA";5;10;0,787;0,95;0,806;1;0,017;2;1;0,997;0,955;0,547;1;0,254
"23";"MAELUS";16;120;0,662;0,949;0,901;0,983;0,001;NA;NA;NA;NA;NA;NA;NA
"24";"MAMERCUS";64;2016;0,916;0,95;0,929;0,968;0,002;7;21;0,91;0,954;0,866;0,999;0,106
"25";"MANTINEUS";5;10;0,315;0,949;0,826;1;0,001;1;0;NA;NA;NA;NA;NA
"26";"MESTRA";14;91;0,741;0,949;0,894;0,986;0,001;NA;NA;NA;NA;NA;NA;NA
"27";"MOTHONE";14;91;0,802;0,95;0,896;0,986;0,001;1;0;NA;NA;NA;NA;NA
"28";"OCNA";13;78;0,902;0,951;0,896;0,986;0,036;2;1;0,983;0,95;0,528;1;0,213
"29";"ORESTES";16;120;0,695;0,95;0,902;0,983;0,001;NA;NA;NA;NA;NA;NA;NA
"30";"OZIA";19;171;0,894;0,949;0,908;0,978;0,014;7;21;0,866;0,954;0,872;0,999;0,02
"31";"PANTHYALE";39;741;0,908;0,95;0,921;0,972;0,005;10;45;0,858;0,954;0,89;0,992;0,006
"32";"PARALLELIS";7;21;0,694;0,951;0,856;0,999;0,001;NA;NA;NA;NA;NA;NA;NA
"33";"PAVONII";2;1;1;0,95;0,552;1;1;1;0;NA;NA;NA;NA;NA
"34";"POLITA";10;45;0,877;0,949;0,875;0,992;0,03;3;3;0,936;0,955;0,762;1;0,256
"35";"PRAESTANS";1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"36";"PRAXILLA";9;36;0,768;0,949;0,868;0,994;0,001;1;0;NA;NA;NA;NA;NA
"37";"QUINTINA";6;15;0,88;0,95;0,843;1;0,066;1;0;NA;NA;NA;NA;NA
"38";"SINILIA";9;36;0,883;0,951;0,881;0,994;0,028;1;0;NA;NA;NA;NA;NA
"39";"SUSIANA";20;190;0,829;0,949;0,903;0,978;0,001;3;3;1;0,957;0,767;1;1
"40";"THABENAF";11;55;0,875;0,95;0,884;0,99;0,018;NA;NA;NA;NA;NA;NA;NA
"41";"THEUDELINDA";8;28;0,686;0,951;0,875;0,997;0,001;NA;NA;NA;NA;NA;NA;NA
"42";"TICIDAM";8;28;0,285;0,95;0,867;0,996;0,001;NA;NA;NA;NA;NA;NA;NA
"43";"UMBROSA";3;3;0,876;0,949;0,73;1;0,162;2;1;0,64;0,96;0,567;1;0,036
"44";"VESTILLA";1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
