"";"ring";"N_units";"N_pairs";"BC_obs";"mean_BC";"BC_2.5";"BC_97.5";"p_value"
"1";"AGNOSIA";35;595;0,945;0,954;0,929;0,972;0,218
"2";"AMALDA";2;1;1;0,948;0,461;1;1
"3";"AURELIANA";1;0;NA;NA;NA;NA;NA
"4";"BANJANAM";5;10;0,997;0,953;0,818;1;0,81
"5";"CONFUSA";11;55;0,824;0,954;0,894;0,991;0,001
"6";"DILUCIDA";10;45;0,927;0,954;0,884;0,993;0,157
"7";"DOTO";1;0;NA;NA;NA;NA;NA
"8";"DUILLIA";3;3;0,829;0,952;0,757;1;0,083
"9";"EGRA";1;0;NA;NA;NA;NA;NA
"10";"EURIMEDIA";18;153;0,91;0,954;0,914;0,982;0,017
"11";"EXCELSA";2;1;0,842;0,951;0,494;1;0,113
"12";"HEMIXANTHE";3;3;0,453;0,952;0,74;1;0,005
"13";"HERMIAS";9;36;0,938;0,954;0,885;0,993;0,26
"14";"HEWITSONI";6;15;0,859;0,954;0,847;1;0,039
"15";"LERIDA";23;253;0,892;0,952;0,92;0,979;0,002
"16";"LIBETHRIS";6;15;0,825;0,952;0,857;1;0,01
"17";"LYSIMNIA";2;1;0,997;0,955;0,547;1;0,254
"18";"MAMERCUS";7;21;0,91;0,954;0,866;0,999;0,106
"19";"MANTINEUS";1;0;NA;NA;NA;NA;NA
"20";"MOTHONE";1;0;NA;NA;NA;NA;NA
"21";"OCNA";2;1;0,983;0,95;0,528;1;0,213
"22";"OZIA";7;21;0,866;0,954;0,872;0,999;0,02
"23";"PANTHYALE";10;45;0,858;0,954;0,89;0,992;0,006
"24";"PAVONII";1;0;NA;NA;NA;NA;NA
"25";"POLITA";3;3;0,936;0,955;0,762;1;0,256
"26";"PRAXILLA";1;0;NA;NA;NA;NA;NA
"27";"QUINTINA";1;0;NA;NA;NA;NA;NA
"28";"SINILIA";1;0;NA;NA;NA;NA;NA
"29";"SUSIANA";3;3;1;0,957;0,767;1;1
"30";"UMBROSA";2;1;0,64;0,96;0,567;1;0,036
