"";"ring";"N_units";"N_pairs";"Jaccard_overlap_obs";"mean_Jaccard_overlap";"Jaccard_overlap_5";"Jaccard_overlap_95";"p_value";"pattern"
"1";"ACRISIONE";1;0;NA;NA;NA;NA;NA;NA
"2";"AGNOSIA";85;3570;0,191;0,147;0,126;0,17;0,002;"similarity"
"3";"AMALDA";9;36;0,282;0,147;0,075;0,237;0,016;"similarity"
"4";"AURELIANA";12;66;0,324;0,149;0,085;0,225;0;"similarity"
"5";"BANJANAM";45;990;0,194;0,148;0,115;0,182;0,013;"similarity"
"6";"CONFUSA";20;190;0,279;0,147;0,098;0,204;0;"similarity"
"7";"DERCYLLIDAS";1;0;NA;NA;NA;NA;NA;NA
"8";"DILUCIDA";40;780;0,345;0,148;0,113;0,187;0;"similarity"
"9";"DOTO";15;105;0,223;0,149;0,094;0,214;0,034;"similarity"
"10";"DUESSA";4;6;0,036;0,145;0,026;0,306;0,079;"dissimilarity"
"11";"DUILLIA";3;3;0,374;0,149;0,006;0,368;0,046;"similarity"
"12";"EGRA";11;55;0,221;0,148;0,081;0,228;0,066;"similarity"
"13";"EURIMEDIA";35;595;0,216;0,147;0,112;0,185;0,001;"similarity"
"14";"EXCELSA";18;153;0,288;0,148;0,097;0,209;0;"similarity"
"15";"HEMIXANTHE";7;21;0,414;0,148;0,064;0,253;0;"similarity"
"16";"HERMIAS";53;1378;0,254;0,147;0,119;0,178;0;"similarity"
"17";"HEWITSONI";30;435;0,244;0,148;0,106;0,191;0,001;"similarity"
"18";"HUMBOLDT";1;0;NA;NA;NA;NA;NA;NA
"19";"ILLINISSA";6;15;0,181;0,151;0,054;0,273;0,312;"similarity"
"20";"LERIDA";66;2145;0,222;0,148;0,121;0,176;0;"similarity"
"21";"LIBETHRIS";21;210;0,187;0,15;0,103;0,205;0,132;"similarity"
"22";"LYSIMNIA";5;10;0,268;0,144;0,043;0,284;0,067;"similarity"
"23";"MAELUS";16;120;0,277;0,146;0,092;0,208;0,003;"similarity"
"24";"MAMERCUS";64;2016;0,233;0,147;0,12;0,177;0;"similarity"
"25";"MANTINEUS";5;10;0,48;0,147;0,048;0,281;0,001;"similarity"
"26";"MESTRA";14;91;0,247;0,149;0,09;0,22;0,014;"similarity"
"27";"MOTHONE";14;91;0,303;0,147;0,086;0,218;0,001;"similarity"
"28";"OCNA";13;78;0,216;0,149;0,084;0,221;0,066;"similarity"
"29";"ORESTES";16;120;0,386;0,146;0,093;0,205;0;"similarity"
"30";"OZIA";19;171;0,166;0,147;0,098;0,207;0,266;"similarity"
"31";"PANTHYALE";39;741;0,205;0,148;0,113;0,185;0,012;"similarity"
"32";"PARALLELIS";7;21;0,359;0,147;0,065;0,256;0,005;"similarity"
"33";"PAVONII";2;1;0,141;0,145;0;0,469;0,616;"dissimilarity"
"34";"POLITA";10;45;0,221;0,151;0,081;0,236;0,088;"similarity"
"35";"PRAESTANS";1;0;NA;NA;NA;NA;NA;NA
"36";"PRAXILLA";9;36;0,245;0,15;0,072;0,245;0,048;"similarity"
"37";"QUINTINA";6;15;0,325;0,148;0,051;0,267;0,013;"similarity"
"38";"SINILIA";9;36;0,113;0,146;0,074;0,233;0,285;"dissimilarity"
"39";"SUSIANA";20;190;0,252;0,148;0,103;0,209;0,005;"similarity"
"40";"THABENAF";11;55;0,231;0,148;0,085;0,228;0,044;"similarity"
"41";"THEUDELINDA";8;28;0,395;0,147;0,072;0,242;0;"similarity"
"42";"TICIDAM";8;28;0,525;0,147;0,069;0,247;0;"similarity"
"43";"UMBROSA";3;3;0,243;0,153;0,006;0,361;0,188;"similarity"
"44";"VESTILLA";1;0;NA;NA;NA;NA;NA;NA
