"";"ring";"N_units";"N_pairs";"MCD_obs";"mean_MCD";"MCD_2.5";"MCD_97.5";"p_value";"pattern"
"1";"ACRISIONE";1;0;NA;NA;NA;NA;NA;NA
"2";"AGNOSIA";74;2701;0,913;0,981;0,879;1,088;0,117;"convergence"
"3";"AMALDA";9;36;0,439;0,99;0,673;1,359;0,002;"convergence"
"4";"AURELIANA";12;66;0,657;0,937;0,673;1,245;0,019;"convergence"
"5";"BANJANAM";43;903;0,673;0,986;0,845;1,135;0,001;"convergence"
"6";"CONFUSA";19;171;0,867;1,018;0,778;1,301;0,125;"convergence"
"7";"DERCYLLIDAS";1;0;NA;NA;NA;NA;NA;NA
"8";"DILUCIDA";35;595;0,366;1,004;0,852;1,181;0,001;"convergence"
"9";"DOTO";12;66;0,616;0,98;0,685;1,274;0,007;"convergence"
"10";"DUESSA";3;3;0,823;0,928;0,331;1,66;0,4;"convergence"
"11";"DUILLIA";3;3;0,159;0,947;0,35;1,645;0,001;"convergence"
"12";"EGRA";10;45;0,319;0,968;0,654;1,292;0,001;"convergence"
"13";"EURIMEDIA";33;528;0,947;1;0,829;1,19;0,297;"convergence"
"14";"EXCELSA";17;136;0,588;1,028;0,781;1,29;0,001;"convergence"
"15";"HEMIXANTHE";5;10;0,14;1,011;0,568;1,529;0,001;"convergence"
"16";"HERMIAS";47;1081;0,771;1,016;0,872;1,168;0,001;"convergence"
"17";"HEWITSONI";27;351;0,404;0,974;0,795;1,173;0,001;"convergence"
"18";"HUMBOLDT";1;0;NA;NA;NA;NA;NA;NA
"19";"ILLINISSA";6;15;0,31;0,977;0,57;1,426;0,001;"convergence"
"20";"LERIDA";63;1953;1,014;0,977;0,854;1,112;0,301;"divergence"
"21";"LIBETHRIS";20;190;0,733;0,948;0,751;1,154;0,019;"convergence"
"22";"LYSIMNIA";4;6;0,481;1,061;0,493;1,704;0,023;"convergence"
"23";"MAELUS";15;105;0,628;1,029;0,779;1,313;0,001;"convergence"
"24";"MAMERCUS";56;1540;0,867;1,014;0,895;1,143;0,01;"convergence"
"25";"MANTINEUS";5;10;0,286;1,024;0,526;1,544;0,001;"convergence"
"26";"MESTRA";14;91;0,42;0,972;0,723;1,223;0,001;"convergence"
"27";"MOTHONE";12;66;0,532;0,999;0,71;1,324;0,001;"convergence"
"28";"OCNA";13;78;0,535;0,961;0,698;1,238;0,001;"convergence"
"29";"ORESTES";15;105;0,428;1,02;0,766;1,302;0,001;"convergence"
"30";"OZIA";16;120;0,62;0,972;0,733;1,217;0,001;"convergence"
"31";"PANTHYALE";38;703;0,574;0,973;0,827;1,122;0,001;"convergence"
"32";"PARALLELIS";7;21;0,478;1,004;0,627;1,44;0,002;"convergence"
"33";"PAVONII";2;1;0,63;0,865;0,17;1,88;0,332;"convergence"
"34";"POLITA";9;36;0,583;0,971;0,655;1,325;0,007;"convergence"
"35";"PRAESTANS";1;0;NA;NA;NA;NA;NA;NA
"36";"PRAXILLA";9;36;0,357;0,96;0,633;1,296;0,001;"convergence"
"37";"QUINTINA";6;15;0,349;0,935;0,523;1,356;0,001;"convergence"
"38";"SINILIA";8;28;0,234;0,967;0,628;1,361;0,001;"convergence"
"39";"SUSIANA";18;153;0,489;0,98;0,742;1,228;0,001;"convergence"
"40";"THABENAF";10;45;0,502;0,959;0,644;1,276;0,004;"convergence"
"41";"THEUDELINDA";8;28;0,098;0,974;0,629;1,351;0,001;"convergence"
"42";"TICIDAM";8;28;0,114;0,998;0,653;1,397;0,001;"convergence"
"43";"UMBROSA";3;3;0,595;0,892;0,343;1,565;0,177;"convergence"
"44";"VESTILLA";1;0;NA;NA;NA;NA;NA;NA
