;ring;N_units;N_pairs;MCD_obs;mean_MCD;MCD_2.5;MCD_97.5;p_value;pattern
1;ACRISIONE;1;0;NA;NA;NA;NA;NA;NA
2;AGNOSIA;74;2701;0,913;0,954;0,851;1,069;0,239;convergence
3;AMALDA;9;36;0,439;0,92;0,615;1,244;0,002;convergence
4;AURELIANA;12;66;0,657;1,01;0,726;1,362;0,008;convergence
5;BANJANAM;43;903;0,673;0,934;0,795;1,09;0,001;convergence
6;CONFUSA;19;171;0,867;0,984;0,761;1,242;0,17;convergence
7;DERCYLLIDAS;1;0;NA;NA;NA;NA;NA;NA
8;DILUCIDA;35;595;0,366;0,986;0,817;1,149;0,001;convergence
9;DOTO;12;66;0,616;1,086;0,789;1,425;0,001;convergence
10;DUESSA;3;3;0,823;0,992;0,358;1,696;0,339;convergence
11;DUILLIA;3;3;0,159;0,913;0,355;1,61;0,002;convergence
12;EGRA;10;45;0,319;1,035;0,68;1,419;0,001;convergence
13;EURIMEDIA;33;528;0,947;0,976;0,799;1,156;0,387;convergence
14;EXCELSA;17;136;0,588;1,049;0,785;1,31;0,001;convergence
15;HEMIXANTHE;5;10;0,14;1,153;0,63;1,776;0,001;convergence
16;HERMIAS;47;1081;0,771;1,054;0,898;1,212;0,001;convergence
17;HEWITSONI;27;351;0,404;0,951;0,773;1,146;0,001;convergence
18;HUMBOLDT;1;0;NA;NA;NA;NA;NA;NA
19;ILLINISSA;6;15;0,31;1,188;0,682;1,804;0,001;convergence
20;LERIDA;63;1953;1,014;0,953;0,834;1,074;0,173;divergence
21;LIBETHRIS;20;190;0,733;0,905;0,704;1,139;0,049;convergence
22;LYSIMNIA;4;6;0,481;1,177;0,542;1,942;0,013;convergence
23;MAELUS;15;105;0,628;1,132;0,839;1,45;0,002;convergence
24;MAMERCUS;56;1540;0,867;1,076;0,928;1,22;0,003;convergence
25;MANTINEUS;5;10;0,286;0,948;0,494;1,451;0,001;convergence
26;MESTRA;14;91;0,42;0,917;0,687;1,16;0,001;convergence
27;MOTHONE;12;66;0,532;1,054;0,728;1,377;0,001;convergence
28;OCNA;13;78;0,535;0,922;0,656;1,184;0,001;convergence
29;ORESTES;15;105;0,428;1,115;0,825;1,438;0,001;convergence
30;OZIA;16;120;0,62;0,917;0,68;1,159;0,006;convergence
31;PANTHYALE;38;703;0,574;0,949;0,8;1,116;0,001;convergence
32;PARALLELIS;7;21;0,478;1,089;0,668;1,548;0,003;convergence
33;PAVONII;2;1;0,63;0,864;0,156;1,884;0,339;convergence
34;POLITA;9;36;0,583;0,885;0,597;1,224;0,019;convergence
35;PRAESTANS;1;0;NA;NA;NA;NA;NA;NA
36;PRAXILLA;9;36;0,357;0,873;0,577;1,199;0,002;convergence
37;QUINTINA;6;15;0,349;1,05;0,576;1,598;0,001;convergence
38;SINILIA;8;28;0,234;1,146;0,732;1,633;0,001;convergence
39;SUSIANA;18;153;0,489;0,902;0,692;1,125;0,001;convergence
40;THABENAF;10;45;0,502;0,973;0,656;1,322;0,001;convergence
41;THEUDELINDA;8;28;0,098;1,001;0,632;1,444;0,001;convergence
42;TICIDAM;8;28;0,114;0,993;0,626;1,427;0,001;convergence
43;UMBROSA;3;3;0,595;0,819;0,318;1,469;0,233;convergence
44;VESTILLA;1;0;NA;NA;NA;NA;NA;NA
